school_name,url_address,address_short,postal_code,address,Latitude,Longitude
JURONG PIONEER JUNIOR COLLEGE,http://jpjc.moe.edu.sg,21  Teck Whye Walk,688258,21  Teck Whye Walk Singapore 688258,1.3848221,103.7536953
JURONG PRIMARY SCHOOL,http://www.jurongpri.moe.edu.sg,320 JURONG EAST Street 32,609476,320 JURONG EAST Street 32 Singapore 609476,1.3486398,103.7329926
JURONG SECONDARY SCHOOL,http://www.jurongsec.moe.edu.sg,31  YUAN CHING ROAD,618652,31  YUAN CHING ROAD Singapore 618652,1.3304452,103.7242105
JURONG WEST PRIMARY SCHOOL,http://www.jurongwestpri.moe.edu.sg,30  JURONG WEST ST 61,648368,30  JURONG WEST ST 61 Singapore 648368,1.3390605,103.6988498
JURONG WEST SECONDARY SCHOOL,http://www.jurongwestsec.moe.edu.sg,61  JURONG WEST STREET 65,648348,61  JURONG WEST STREET 65 Singapore 648348,1.3352829,103.7020861
JURONGVILLE SECONDARY SCHOOL,http://www.jurongvillesec.moe.edu.sg,202 JURONG EAST AVENUE 1,609790,202 JURONG EAST AVENUE 1 Singapore 609790,1.3515675,103.7291203
JUYING PRIMARY SCHOOL,http://www.juyingpri.moe.edu.sg/,31  JURONG WEST STREET 91,649037,31  JURONG WEST STREET 91 Singapore 649037,1.3384134,103.6881955
JUYING SECONDARY SCHOOL,http://juyingsec.moe.edu.sg,33  JURONG WEST STREET 91,649038,33  JURONG WEST STREET 91 Singapore 649038,1.3382721,103.6872907
KEMING PRIMARY SCHOOL,http://www.kemingpri.moe.edu.sg,90  BUKIT BATOK EAST AVENUE 6,659762,90  BUKIT BATOK EAST AVENUE 6 Singapore 659762,1.3453842,103.7565689
KENT RIDGE SECONDARY SCHOOL,http://www.kentridgesec.moe.edu.sg,147 WEST COAST ROAD,127368,147 WEST COAST ROAD Singapore 127368,1.3013766,103.7649426
KHENG CHENG SCHOOL,http://www.khengcheng.moe.edu.sg/,15  LORONG 3 TOA PAYOH,319580,15  LORONG 3 TOA PAYOH Singapore 319580,1.3371355,103.8476215
KONG HWA SCHOOL,http://www.konghwa.moe.edu.sg,350 GUILLEMARD ROAD,399772,350 GUILLEMARD ROAD Singapore 399772,1.311043,103.8882737
KRANJI PRIMARY SCHOOL,http://kranjipri.moe.edu.sg,11  CHOA CHU KANG STREET 54,689189,11  CHOA CHU KANG STREET 54 Singapore 689189,1.3935002,103.7478732
KRANJI SECONDARY SCHOOL,http://www.kranjisec.moe.edu.sg,61  CHOA CHU KANG STREET 51,689333,61  CHOA CHU KANG STREET 51 Singapore 689333,1.3904615,103.7416898
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,http://www.kuochuanpresbyterianpri.moe.edu.sg,8 BISHAN STREET 13,579793,8 BISHAN STREET 13 Singapore 579793,1.3493915,103.8552309
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,http://www.kuochuanpresbyteriansec.moe.edu.sg,10  BISHAN STREET 13,579795,10  BISHAN STREET 13 Singapore 579795,1.3503461,103.8547779
LAKESIDE PRIMARY SCHOOL,http://www.lakesidepri.moe.edu.sg/,161 Corporation Walk,618310,161 Corporation Walk Singapore 618310,1.3385354,103.7182375
LIANHUA PRIMARY SCHOOL,http://www.lianhuapri.moe.edu.sg/,2 BUKIT BATOK STREET 52,659243,2 BUKIT BATOK STREET 52 Singapore 659243,1.3541067,103.7540217
LOYANG VIEW SECONDARY SCHOOL,http://www.loyangviewsec.moe.edu.sg,12  PASIR RIS STREET 11,519073,12  PASIR RIS STREET 11 Singapore 519073,1.3670099,103.9568428
MAHA BODHI SCHOOL,http://www.mahabodhi.moe.edu.sg/,10  UBI AVENUE 1,408931,10  UBI AVENUE 1 Singapore 408931,1.328413,103.9015463
MANJUSRI SECONDARY SCHOOL,http://www.manjusrisec.moe.edu.sg,20  UBI AVENUE 1,408940,20  UBI AVENUE 1 Singapore 408940,1.3275332,103.9011678
MARIS STELLA HIGH SCHOOL,http://www.marisstellahigh.moe.edu.sg,25  MOUNT VERNON ROAD,368051,25  MOUNT VERNON ROAD Singapore 368051,1.341737,103.8782839
MARSILING PRIMARY SCHOOL,http://www.marsilingpri.moe.edu.sg,31  WOODLANDS CENTRE ROAD,738927,31  WOODLANDS CENTRE ROAD Singapore 738927,1.4341138,103.7736338
MARSILING SECONDARY SCHOOL,http://www.marsilingsec.moe.edu.sg,12  MARSILING ROAD,739110,12  MARSILING ROAD Singapore 739110,1.4381712,103.7763046
MARYMOUNT CONVENT SCHOOL,HTTP://WWW.MARYMOUNTCONVENT.MOE.EDU.SG,20  Marymount Road,297754,20  Marymount Road Singapore 297754,1.340253,103.8401937
MAYFLOWER PRIMARY SCHOOL,http://www.mayflowerpri.moe.edu.sg,6 Ang Mo Kio Avenue 2,569948,6 Ang Mo Kio Avenue 2 Singapore 569948,1.376169,103.8358455
MAYFLOWER SECONDARY SCHOOL,http://www.mayflowersec.moe.edu.sg,2 ANG MO KIO STREET 21,569384,2 ANG MO KIO STREET 21 Singapore 569384,1.3683284,103.8354381
MEE TOH SCHOOL,http://www.meetoh.moe.edu.sg/,21  EDGEDALE PLAINS,828867,21  EDGEDALE PLAINS Singapore 828867,1.3946943,103.9088934
MERIDIAN PRIMARY SCHOOL,http://www.meridianpri.moe.edu.sg/,20  PASIR RIS ST 71,518798,20  PASIR RIS ST 71 Singapore 518798,1.3758346,103.9352907
MERIDIAN SECONDARY SCHOOL,http://www.meridiansec.moe.edu.sg,31  PASIR RIS STREET 51,518901,31  PASIR RIS STREET 51 Singapore 518901,1.3676582,103.9493864
METHODIST GIRLS' SCHOOL (PRIMARY),http://www.mgs.sch.edu.sg,11  Blackmore Drive,599986,11  Blackmore Drive Singapore 599986,1.3330977,103.7824839
METHODIST GIRLS' SCHOOL (SECONDARY),http://www.mgs.moe.edu.sg,11  BLACKMORE DRIVE,599986,11  BLACKMORE DRIVE Singapore 599986,1.3330977,103.7824839
MILLENNIA INSTITUTE,http://www.millenniainstitute.moe.edu.sg,60  Bukit Batok West Avenue 8,658965,60  Bukit Batok West Avenue 8 Singapore 658965,1.3499489,103.7414409
MONTFORT JUNIOR SCHOOL,http://www.montfortjunior.moe.edu.sg/,52  HOUGANG AVENUE 8,538786,52  HOUGANG AVENUE 8 Singapore 538786,1.3739295,103.8894804
MONTFORT SECONDARY SCHOOL,https://montfortsec.moe.edu.sg/,50  HOUGANG AVENUE 8,538785,50  HOUGANG AVENUE 8 Singapore 538785,1.3734781,103.8890672
NAN CHIAU HIGH SCHOOL,http://www.nchs.edu.sg,20  ANCHORVALE LINK,545079,20  ANCHORVALE LINK Singapore 545079,1.3887967,103.8902711
NAN CHIAU PRIMARY SCHOOL,http://www.ncps.moe.edu.sg,50  ANCHORVALE LINK,545080,50  ANCHORVALE LINK Singapore 545080,1.3923669,103.8907015
NAN HUA HIGH SCHOOL,http://www.nanhuahigh.moe.edu.sg,41  CLEMENTI AVENUE 1,129956,41  CLEMENTI AVENUE 1 Singapore 129956,1.30807,103.769189
NAN HUA PRIMARY SCHOOL,http://www.nanhuapri.moe.edu.sg,30  Jalan Lempeng,128806,30  Jalan Lempeng Singapore 128806,1.3196188,103.761412
NANYANG GIRLS' HIGH SCHOOL,https://www.nygh.edu.sg,2 LINDEN DRIVE,288683,2 LINDEN DRIVE Singapore 288683,1.3305569,103.8022132
NANYANG JUNIOR COLLEGE,http://www.nanyangjc.moe.edu.sg/,128 SERANGOON AVENUE 3,556111,128 SERANGOON AVENUE 3 Singapore 556111,1.3515054,103.8682342
NANYANG PRIMARY SCHOOL,http://www.nyps.moe.edu.sg,52  KING'S ROAD,268097,52  KING'S ROAD Singapore 268097,1.3209661,103.8081313
NATIONAL JUNIOR COLLEGE,http://www.nationaljc.moe.edu.sg,37  HILLCREST ROAD,288913,37  HILLCREST ROAD Singapore 288913,1.3299339,103.8044872
NAVAL BASE PRIMARY SCHOOL,http://www.navalbasepri.moe.edu.sg/,7 YISHUN AVE 4,769028,7 YISHUN AVE 4 Singapore 769028,1.4163264,103.8387445
NAVAL BASE SECONDARY SCHOOL,http://www.navalbasesec.moe.edu.sg,901 YISHUN RING ROAD,768689,901 YISHUN RING ROAD Singapore 768689,1.4194513,103.8314983
NEW TOWN PRIMARY SCHOOL,http://www.newtownpri.moe.edu.sg/,300 Tanglin Halt Road,148812,300 Tanglin Halt Road Singapore 148812,1.2996373,103.800185
NEW TOWN SECONDARY SCHOOL,http://www.newtownsec.moe.edu.sg,1020 DOVER ROAD,139657,1020 DOVER ROAD Singapore 139657,1.3038064,103.7794345
NGEE ANN PRIMARY SCHOOL,http://www.ngeeannpri.moe.edu.sg,344 MARINE TERRACE,449149,344 MARINE TERRACE Singapore 449149,1.3055653,103.9181149
NGEE ANN SECONDARY SCHOOL,http://www.ngeeannsec.moe.edu.sg,1 TAMPINES STREET 32,529283,1 TAMPINES STREET 32 Singapore 529283,1.353896,103.9567861
NORTH SPRING PRIMARY SCHOOL,http://www.northspringpri.moe.edu.sg,1 RIVERVALE STREET,545088,1 RIVERVALE STREET Singapore 545088,1.3870509,103.9034259
NORTH VIEW PRIMARY SCHOOL,http://www.northviewpri.moe.edu.sg,210 YISHUN AVENUE 6,768960,210 YISHUN AVENUE 6 Singapore 768960,1.4276072,103.8483115
NORTH VISTA PRIMARY SCHOOL,http://www.northvistapri.moe.edu.sg,20  Compassvale Link,544974,20  Compassvale Link Singapore 544974,1.3828084,103.8960478
NORTH VISTA SECONDARY SCHOOL,http://www.northvistasec.moe.edu.sg,11  RIVERVALE LINK,545081,11  RIVERVALE LINK Singapore 545081,1.3811423,103.8989929
